voter_name,affiliation,year,award,player,points_given
Adam Himmelsbach,Boston Globe,2022,All-Defense,Giannis Antetokounmpo,2
Adam Himmelsbach,Boston Globe,2022,All-Defense,Bam Adebayo,2
Adam Himmelsbach,Boston Globe,2022,All-Defense,Rudy Gobert,2
Adam Himmelsbach,Boston Globe,2022,All-Defense,Marcus Smart,2
Adam Himmelsbach,Boston Globe,2022,All-Defense,Mikal Bridges,2
Adam Himmelsbach,Boston Globe,2022,All-Defense,Matisse Thybulle,1
Adam Himmelsbach,Boston Globe,2022,All-Defense,Jaren Jackson Jr.,1
Adam Himmelsbach,Boston Globe,2022,All-Defense,Robert Williams III,1
Adam Himmelsbach,Boston Globe,2022,All-Defense,Jrue Holiday,1
Adam Himmelsbach,Boston Globe,2022,All-Defense,Fred VanVleet,1
Adam Himmelsbach,Boston Globe,2022,All-NBA,Joel Embiid,5
Adam Himmelsbach,Boston Globe,2022,All-NBA,Giannis Antetokounmpo,5
Adam Himmelsbach,Boston Globe,2022,All-NBA,Nikola Jokic,5
Adam Himmelsbach,Boston Globe,2022,All-NBA,Luka Doncic,5
Adam Himmelsbach,Boston Globe,2022,All-NBA,Ja Morant,5
Adam Himmelsbach,Boston Globe,2022,All-NBA,Jayson Tatum,3
Adam Himmelsbach,Boston Globe,2022,All-NBA,LeBron James,3
Adam Himmelsbach,Boston Globe,2022,All-NBA,Karl-Anthony Towns,3
Adam Himmelsbach,Boston Globe,2022,All-NBA,Devin Booker,3
Adam Himmelsbach,Boston Globe,2022,All-NBA,Stephen Curry,3
Adam Himmelsbach,Boston Globe,2022,All-NBA,DeMar DeRozan,1
Adam Himmelsbach,Boston Globe,2022,All-NBA,Kevin Durant,1
Adam Himmelsbach,Boston Globe,2022,All-NBA,Rudy Gobert,1
Adam Himmelsbach,Boston Globe,2022,All-NBA,Chris Paul,1
Adam Himmelsbach,Boston Globe,2022,All-NBA,Trae Young,1
Adam Himmelsbach,Boston Globe,2022,All-Rook,Evan Mobley,2
Adam Himmelsbach,Boston Globe,2022,All-Rook,Scottie Barnes,2
Adam Himmelsbach,Boston Globe,2022,All-Rook,Cade Cunningham,2
Adam Himmelsbach,Boston Globe,2022,All-Rook,Jalen Green,2
Adam Himmelsbach,Boston Globe,2022,All-Rook,Franz Wagner,2
Adam Himmelsbach,Boston Globe,2022,All-Rook,Herbert Jones,1
Adam Himmelsbach,Boston Globe,2022,All-Rook,Josh Giddey,1
Adam Himmelsbach,Boston Globe,2022,All-Rook,Ayo Dosunmu,1
Adam Himmelsbach,Boston Globe,2022,All-Rook,Bones Hyland,1
Adam Himmelsbach,Boston Globe,2022,All-Rook,Chris Duarte,1
Adam Himmelsbach,Boston Globe,2022,COY,Monty Williams,5
Adam Himmelsbach,Boston Globe,2022,COY,Taylor Jenkins,3
Adam Himmelsbach,Boston Globe,2022,COY,Ime Udoka,1
Adam Himmelsbach,Boston Globe,2022,DPOY,Marcus Smart,5
Adam Himmelsbach,Boston Globe,2022,DPOY,Bam Adebayo,3
Adam Himmelsbach,Boston Globe,2022,DPOY,Rudy Gobert,1
Adam Himmelsbach,Boston Globe,2022,MIP,Ja Morant,5
Adam Himmelsbach,Boston Globe,2022,MIP,Darius Garland,3
Adam Himmelsbach,Boston Globe,2022,MIP,Tyrese Maxey,1
Adam Himmelsbach,Boston Globe,2022,MVP,Nikola Jokic,10
Adam Himmelsbach,Boston Globe,2022,MVP,Joel Embiid,7
Adam Himmelsbach,Boston Globe,2022,MVP,Giannis Antetokounmpo,5
Adam Himmelsbach,Boston Globe,2022,MVP,Luka Doncic,3
Adam Himmelsbach,Boston Globe,2022,MVP,Devin Booker,1
Adam Himmelsbach,Boston Globe,2022,ROY,Scottie Barnes,5
Adam Himmelsbach,Boston Globe,2022,ROY,Evan Mobley,3
Adam Himmelsbach,Boston Globe,2022,ROY,Cade Cunningham,1
Adam Himmelsbach,Boston Globe,2022,SMOY,Tyler Herro,5
Adam Himmelsbach,Boston Globe,2022,SMOY,Kevin Love,3
Adam Himmelsbach,Boston Globe,2022,SMOY,Cameron Johnson,1
Anthony Chiang,Miami Herald,2022,All-Defense,Bam Adebayo,2
Anthony Chiang,Miami Herald,2022,All-Defense,Jaren Jackson Jr.,2
Anthony Chiang,Miami Herald,2022,All-Defense,Rudy Gobert,2
Anthony Chiang,Miami Herald,2022,All-Defense,Marcus Smart,2
Anthony Chiang,Miami Herald,2022,All-Defense,Mikal Bridges,2
Anthony Chiang,Miami Herald,2022,All-Defense,Giannis Antetokounmpo,1
